,Date,feature,year,month
0,2018-01-01,[[2266.074]],2018,1
1,2018-02-01,[[2294.886]],2018,2
2,2018-03-01,[[2242.366]],2018,3
3,2018-04-01,[[2169.4067]],2018,4
4,2018-05-01,[[2207.9233]],2018,5
5,2018-06-01,[[2262.078]],2018,6
6,2018-07-01,[[2278.385]],2018,7
7,2018-08-01,[[2190.233]],2018,8
8,2018-09-01,[[2076.9453]],2018,9
9,2018-10-01,[[2171.4182]],2018,10
10,2018-11-01,[[2149.4316]],2018,11
11,2018-12-01,[[2080.3838]],2018,12
12,2019-01-01,[[2036.5013]],2019,1
13,2019-02-01,[[2028.2338]],2019,2
14,2019-03-01,[[1961.7456]],2019,3
15,2019-04-01,[[1900.8481]],2019,4
16,2019-05-01,[[1947.0599]],2019,5
17,2019-06-01,[[1957.3351]],2019,6
18,2019-07-01,[[1905.9005]],2019,7
19,2019-08-01,[[1860.2368]],2019,8
20,2019-09-01,[[1858.7188]],2019,9
21,2019-10-01,[[1843.912]],2019,10
22,2019-11-01,[[1785.7903]],2019,11
23,2019-12-01,[[1792.1428]],2019,12
24,2020-01-01,[[1795.7131]],2020,1
25,2020-02-01,[[1761.6278]],2020,2
26,2020-03-01,[[1716.7408]],2020,3
27,2020-04-01,[[1709.0842]],2020,4
28,2020-05-01,[[1718.902]],2020,5
29,2020-06-01,[[1685.4658]],2020,6
30,2020-07-01,[[1657.4236]],2020,7
31,2020-08-01,[[1664.8153]],2020,8
32,2020-09-01,[[1659.2898]],2020,9
33,2020-10-01,[[1618.324]],2020,10
34,2020-11-01,[[1596.9258]],2020,11
35,2020-12-01,[[1611.6771]],2020,12
36,2021-01-01,[[1599.4185]],2021,1
37,2021-02-01,[[1564.8132]],2021,2
38,2021-03-01,[[1557.239]],2021,3
39,2021-04-01,[[1567.0447]],2021,4
40,2021-05-01,[[1546.5352]],2021,5
41,2021-06-01,[[1518.1774]],2021,6
42,2021-07-01,[[1523.7542]],2021,7
43,2021-08-01,[[1529.9525]],2021,8
44,2021-09-01,[[1504.5216]],2021,9
45,2021-10-01,[[1483.8557]],2021,10
46,2021-11-01,[[1489.6278]],2021,11
47,2021-12-01,[[1488.3864]],2021,12
48,2022-01-01,[[1465.7122]],2022,1
49,2022-02-01,[[1456.3656]],2022,2
50,2022-03-01,[[1463.4285]],2022,3
51,2022-04-01,[[1456.4955]],2022,4
52,2022-05-01,[[1435.1816]],2022,5
53,2022-06-01,[[1430.9341]],2022,6
54,2022-07-01,[[1437.8313]],2022,7
55,2022-08-01,[[1426.5072]],2022,8
56,2022-09-01,[[1409.7017]],2022,9
57,2022-10-01,[[1411.6787]],2022,10
58,2022-11-01,[[1415.2716]],2022,11
59,2022-12-01,[[1401.2207]],2022,12
60,2023-01-01,[[1388.862]],2023,1
61,2023-02-01,[[1394.0363]],2023,2
62,2023-03-01,[[1394.2024]],2023,3
63,2023-04-01,[[1380.2136]],2023,4
64,2023-05-01,[[1373.52]],2023,5
65,2023-06-01,[[1378.008]],2023,6
66,2023-07-01,[[1374.202]],2023,7
67,2023-08-01,[[1361.5436]],2023,8
68,2023-09-01,[[1360.2848]],2023,9
69,2023-10-01,[[1363.8817]],2023,10
70,2023-11-01,[[1357.2352]],2023,11
71,2023-12-01,[[1347.7397]],2023,12
72,2024-01-01,[[1348.9973]],2024,1
73,2024-02-01,[[1351.4956]],2024,2
74,2024-03-01,[[1343.5682]],2024,3
75,2024-04-01,[[1336.6683]],2024,4
76,2024-05-01,[[1339.6808]],2024,5
77,2024-06-01,[[1339.7634]],2024,6
78,2024-07-01,[[1331.6829]],2024,7
79,2024-08-01,[[1328.4048]],2024,8
80,2024-09-01,[[1331.1354]],2024,9
81,2024-10-01,[[1328.9873]],2024,10
82,2024-11-01,[[1322.3339]],2024,11
83,2024-12-01,[[1321.693]],2024,12
84,2025-01-01,[[1323.851]],2025,1
85,2025-02-01,[[1320.1517]],2025,2
86,2025-03-01,[[1314.9116]],2025,3
87,2025-04-01,[[1315.8898]],2025,4
88,2025-05-01,[[1317.1406]],2025,5
89,2025-06-01,[[1312.7439]],2025,6
90,2025-07-01,[[1309.1841]],2025,7
91,2025-08-01,[[1310.8771]],2025,8
92,2025-09-01,[[1310.8287]],2025,9
93,2025-10-01,[[1306.6346]],2025,10
94,2025-11-01,[[1305.0599]],2025,11
95,2025-12-01,[[1306.4618]],2025,12
96,2026-01-01,[[1305.2445]],2026,1
97,2026-02-01,[[1301.7058]],2026,2
98,2026-03-01,[[1301.4651]],2026,3
99,2026-04-01,[[1302.5829]],2026,4
100,2026-05-01,[[1300.5621]],2026,5
101,2026-06-01,[[1297.8563]],2026,6
102,2026-07-01,[[1298.3828]],2026,7
103,2026-08-01,[[1298.9954]],2026,8
104,2026-09-01,[[1296.699]],2026,9
105,2026-10-01,[[1294.8762]],2026,10
106,2026-11-01,[[1295.7775]],2026,11
107,2026-12-01,[[1295.6929]],2026,12
108,2027-01-01,[[1293.4927]],2027,1
109,2027-02-01,[[1292.6841]],2027,2
110,2027-03-01,[[1293.4172]],2027,3
111,2027-04-01,[[1292.7614]],2027,4
112,2027-05-01,[[1290.9032]],2027,5
113,2027-06-01,[[1290.7935]],2027,6
114,2027-07-01,[[1291.3793]],2027,7
115,2027-08-01,[[1290.3131]],2027,8
116,2027-09-01,[[1288.8848]],2027,9
117,2027-10-01,[[1289.1779]],2027,10
118,2027-11-01,[[1289.4915]],2027,11
119,2027-12-01,[[1288.2699]],2027,12
